doc_id,M1,M2,M3,M4,M5
DOC_001,1,1,0,2,0
DOC_002,0,2,2,2,1
DOC_003,0,1,2,1,0
DOC_004,1,1,0,2,0
DOC_005,0,1,1,0,2
DOC_006,1,1,1,0,1
DOC_007,2,1,2,1,2
DOC_008,1,1,0,0,0
DOC_009,1,2,0,2,1
DOC_010,0,0,1,1,2
